2020-05-02 05:20:11 status half-configured mawk:amd64 1.3.4.20200120-2
2020-05-02 05:20:11 status installed mawk:amd64 1.3.4.20200120-2
2020-05-02 05:20:11 startup archives install
2020-05-02 05:20:11 install debconf:all <none> 1.5.73
2020-05-02 05:20:11 status half-installed debconf:all 1.5.73
2020-05-02 05:20:11 status unpacked debconf:all 1.5.73
2020-05-02 05:20:11 configure debconf:all 1.5.73 1.5.73
2020-05-02 05:20:11 status half-configured debconf:all 1.5.73
2020-05-02 05:20:11 status installed debconf:all 1.5.73
2020-05-02 05:20:11 startup archives unpack
2020-05-02 05:20:11 upgrade base-files:amd64 11ubuntu5 11ubuntu5
2020-05-02 05:20:11 status half-configured base-files:amd64 11ubuntu5
2020-05-02 05:20:11 status unpacked base-files:amd64 11ubuntu5
2020-05-02 05:20:11 status half-installed base-files:amd64 11ubuntu5
2020-05-02 05:20:12 status unpacked base-files:amd64 11ubuntu5
2020-05-02 05:20:12 upgrade base-passwd:amd64 3.5.47 3.5.47
2020-05-02 05:20:12 status half-configured base-passwd:amd64 3.5.47
2020-05-02 05:20:12 status unpacked base-passwd:amd64 3.5.47
2020-05-02 05:20:12 status half-installed base-passwd:amd64 3.5.47
2020-05-02 05:20:12 status unpacked base-passwd:amd64 3.5.47
2020-05-02 05:20:12 install bash:amd64 <none> 5.0-6ubuntu1
2020-05-02 05:20:12 status half-installed bash:amd64 5.0-6ubuntu1
2020-05-02 05:20:12 status unpacked bash:amd64 5.0-6ubuntu1
2020-05-02 05:20:12 install bsdutils:amd64 <none> 1:2.34-0.1ubuntu9
2020-05-02 05:20:12 status half-installed bsdutils:amd64 1:2.34-0.1ubuntu9
2020-05-02 05:20:12 status unpacked bsdutils:amd64 1:2.34-0.1ubuntu9
2020-05-02 05:20:12 install coreutils:amd64 <none> 8.30-3ubuntu2
2020-05-02 05:20:12 status half-installed coreutils:amd64 8.30-3ubuntu2
2020-05-02 05:20:12 status unpacked coreutils:amd64 8.30-3ubuntu2
2020-05-02 05:20:12 install dash:amd64 <none> 0.5.10.2-6
2020-05-02 05:20:12 status half-installed dash:amd64 0.5.10.2-6
2020-05-02 05:20:12 status unpacked dash:amd64 0.5.10.2-6
2020-05-02 05:20:12 upgrade debconf:all 1.5.73 1.5.73
2020-05-02 05:20:12 status half-configured debconf:all 1.5.73
2020-05-02 05:20:13 status unpacked debconf:all 1.5.73
2020-05-02 05:20:13 status half-installed debconf:all 1.5.73
2020-05-02 05:20:13 status unpacked debconf:all 1.5.73
2020-05-02 05:20:13 install debianutils:amd64 <none> 4.9.1
2020-05-02 05:20:13 status half-installed debianutils:amd64 4.9.1
2020-05-02 05:20:13 status unpacked debianutils:amd64 4.9.1
2020-05-02 05:20:13 install diffutils:amd64 <none> 1:3.7-3
2020-05-02 05:20:13 status half-installed diffutils:amd64 1:3.7-3
2020-05-02 05:20:13 status unpacked diffutils:amd64 1:3.7-3
2020-05-02 05:20:13 upgrade dpkg:amd64 1.19.7ubuntu3 1.19.7ubuntu3
2020-05-02 05:20:13 status half-configured dpkg:amd64 1.19.7ubuntu3
2020-05-02 05:20:13 status unpacked dpkg:amd64 1.19.7ubuntu3
2020-05-02 05:20:13 status half-installed dpkg:amd64 1.19.7ubuntu3
2020-05-02 05:20:13 status unpacked dpkg:amd64 1.19.7ubuntu3
2020-05-02 05:20:13 install e2fsprogs:amd64 <none> 1.45.5-2ubuntu1
